,Protein Annotation,Day21-ETP,sgRNA_vs_Target,TID,MatchResult
218,80.49,0.35781259200000004,19,1,1
219,80.49,0.30834706300000003,17,1,1
220,80.49,0.30834706300000003,17,1,1
223,80.49,0.232019768,19,1,1
224,80.49,0.183458597,14,1,1
225,80.49,0.150498874,14,1,1
226,80.49,0.150498874,14,1,1
227,80.49,0.107410605,15,1,1
231,80.49,0.06799167,19,1,1
234,80.49,-0.054255447000000005,15,1,1
235,80.49,-0.063274568,13,1,1
238,80.49,-0.131942371,14,1,1
242,80.49,-0.344610828,19,1,1
243,80.49,-0.371481381,12,1,1
244,80.49,-0.484932385,14,1,0
245,80.49,-0.484932385,14,1,0
247,80.49,-0.557049425,8,1,0
250,80.49,-0.68655638,5,1,1
253,80.49,-0.786141457,12,1,0
255,80.49,-0.786141457,12,1,0
257,80.49,-0.84168809,7,1,0
258,80.49,-0.8627650790000001,18,1,1
259,80.49,-0.901753015,9,1,1
260,80.49,-0.955037221,8,1,1
261,80.49,-0.975626846,13,1,0
262,80.49,-1.019655137,13,1,1
263,80.49,-1.019655137,13,1,1
264,80.49,-1.019655137,13,1,1
265,80.49,-1.03424779,5,1,0
266,80.49,-1.055380436,6,1,1
267,80.49,-1.055594297,6,1,1
268,80.49,-1.112745274,10,1,1
269,80.49,-1.112745274,10,1,1
270,80.49,-1.123067458,8,1,1
271,80.49,-1.123067458,8,1,1
274,80.49,-1.287520256,9,1,1
275,80.49,-1.287520256,9,1,1
276,80.49,-1.327090537,16,1,0
278,80.49,-1.456333801,7,1,1
279,80.49,-1.456333801,7,1,1
280,80.49,-1.508775791,13,1,1
281,80.49,-1.52102422,9,1,1
282,80.49,-1.537780058,7,1,1
284,80.49,-1.648912181,12,1,1
285,80.49,-1.659183434,10,1,1
289,80.49,-1.752158345,10,1,1
290,80.49,-1.806512299,5,1,1
292,80.49,-1.941984919,5,1,1
293,80.49,-1.98218361,11,1,0
294,80.49,-1.982781107,8,1,1
295,80.49,-2.053487331,16,1,1
296,80.49,-2.190399504,12,1,1
297,80.49,-2.196693321,18,1,1
299,80.49,-2.246933013,12,1,1
301,80.49,-2.586370012,12,1,1
303,80.49,-2.873336227,11,1,1
304,80.49,-2.883343673,11,1,1
305,80.49,-3.40232986,11,1,1
306,80.49,-3.40232986,11,1,1
307,80.49,-3.524897602,10,1,0
308,80.49,-3.666683757,6,1,1
309,80.49,-3.666683757,6,1,1
311,80.49,-3.802874793,7,1,1
312,80.49,-3.938090499,17,1,0
313,80.49,-3.939386952,6,1,0
315,80.49,-4.092304087,9,1,0
316,61.11,0.353928425,5,0,0
317,61.11,-0.116426322,10,0,1
318,61.11,-0.12817447099999998,6,0,1
320,61.11,-0.190163855,11,0,1
321,61.11,-0.299474901,15,0,0
324,61.11,-0.44100162,6,0,1
325,61.11,-0.453643641,12,0,1
327,61.11,-0.555834445,8,0,1
328,61.11,-0.555834445,8,0,1
333,61.11,-0.690208685,19,0,1
334,61.11,-0.702855515,16,0,1
335,61.11,-0.715465024,10,0,0
338,61.11,-0.735608192,19,0,0
339,61.11,-0.735608192,19,0,0
340,61.11,-0.735608192,19,0,1
341,61.11,-0.7439984009999999,17,0,1
342,61.11,-0.7439984009999999,17,0,1
344,61.11,-0.757421899,14,0,0
345,61.11,-0.764982655,6,0,1
348,61.11,-0.8419329959999999,18,0,1
349,61.11,-0.8419329959999999,18,0,1
354,61.11,-1.024119337,8,0,1
355,61.11,-1.033307395,12,0,0
356,61.11,-1.082454345,13,0,0
357,61.11,-1.111975099,9,0,1
358,61.11,-1.111975099,9,0,1
360,61.11,-1.133832084,8,0,1
362,61.11,-1.19615812,13,0,1
363,61.11,-1.207437245,6,0,0
364,61.11,-1.207437245,6,0,0
366,61.11,-1.208628723,19,0,1
367,61.11,-1.2474510090000002,8,0,0
369,61.11,-1.257036295,19,0,1
370,61.11,-1.272227184,13,0,1
371,61.11,-1.272227184,13,0,1
372,61.11,-1.294439626,11,0,1
374,61.11,-1.332789842,13,0,1
375,61.11,-1.341638683,18,0,1
378,61.11,-1.357278819,17,0,1
382,61.11,-1.394337344,19,0,1
383,61.11,-1.394337344,19,0,1
384,61.11,-1.394407854,11,0,1
387,61.11,-1.4700161930000002,19,0,1
390,61.11,-1.479870279,19,0,1
391,61.11,-1.500063985,11,0,1
392,61.11,-1.511895363,16,0,1
393,61.11,-1.522412811,11,0,1
394,61.11,-1.525974908,16,0,1
395,61.11,-1.525974908,16,0,1
396,61.11,-1.538473226,12,0,1
397,61.11,-1.538473226,12,0,1
398,61.11,-1.538473226,12,0,1
399,61.11,-1.538473226,12,0,1
401,61.11,-1.580266164,15,0,1
402,61.11,-1.580266164,15,0,1
403,61.11,-1.584322275,17,0,1
404,61.11,-1.612427979,7,0,0
406,61.11,-1.617906476,19,0,1
408,61.11,-1.651038795,15,0,1
410,61.11,-1.698186287,20,0,1
411,61.11,-1.698186287,20,0,1
412,61.11,-1.698186287,20,0,1
414,61.11,-1.741875953,15,0,1
417,61.11,-1.802859661,10,0,1
420,61.11,-1.866880868,7,0,1
421,61.11,-1.881044327,12,0,1
423,61.11,-1.911132982,17,0,0
425,61.11,-1.941234849,18,0,0
428,61.11,-2.018691431,11,0,1
432,61.11,-2.058049526,7,0,1
433,61.11,-2.058049526,7,0,1
434,61.11,-2.058049526,7,0,1
435,61.11,-2.080334714,9,0,0
436,61.11,-2.103944399,6,0,1
437,61.11,-2.147915181,9,0,1
438,61.11,-2.149328967,14,0,1
439,61.11,-2.149328967,14,0,1
441,61.11,-2.170623001,10,0,1
442,61.11,-2.170623001,10,0,1
445,61.11,-2.220036737,11,0,1
447,61.11,-2.244874071,18,0,1
449,61.11,-2.335249492,6,0,1
453,61.11,-2.480095694,7,0,1
454,61.11,-2.57783574,11,0,0
455,61.11,-2.57783574,11,0,0
456,61.11,-2.57783574,11,0,0
457,61.11,-2.792946482,6,0,1
459,61.11,-2.8886072310000004,19,0,1
460,61.11,-2.973421634,11,0,1
462,61.11,-3.3824647660000005,11,0,1
463,61.11,-3.3824647660000005,11,0,1
468,61.11,-4.304119493,14,0,1
469,61.11,-4.321124703,9,0,1
470,61.11,-4.757501392,16,0,0
471,61.11,-5.220404682,14,0,1
473,95.68,0.58477804,19,0,1
475,95.68,0.35364168100000004,15,0,1
476,95.68,0.086978048,15,0,1
477,95.68,0.086978048,15,0,1
480,95.68,-0.06763588799999999,17,0,0
482,95.68,-0.171023795,16,0,1
484,95.68,-0.244062445,14,0,1
485,95.68,-0.244062445,14,0,1
486,95.68,-0.244062445,14,0,1
487,95.68,-0.310592756,11,0,1
488,95.68,-0.335161999,18,0,0
491,95.68,-0.404695643,18,0,1
492,95.68,-0.404695643,18,0,1
493,95.68,-0.405823382,13,0,1
494,95.68,-0.430749167,10,0,1
495,95.68,-0.430749167,10,0,1
496,95.68,-0.430749167,10,0,1
498,95.68,-0.526527128,19,0,1
499,95.68,-0.5357161189999999,12,0,1
501,95.68,-0.549052686,19,0,1
502,95.68,-0.549052686,19,0,1
503,95.68,-0.644207839,18,0,1
505,95.68,-0.6616448620000001,16,0,1
507,95.68,-0.6935568329999999,10,0,1
510,95.68,-0.726714271,19,0,0
511,95.68,-0.726714271,19,0,0
512,95.68,-0.726714271,19,0,1
515,95.68,-0.807455805,8,0,1
516,95.68,-0.82794133,8,0,1
518,95.68,-0.88898678,18,0,1
519,95.68,-0.895518982,9,0,1
520,95.68,-0.902344213,17,0,1
521,95.68,-0.902344213,17,0,1
522,95.68,-0.902344213,17,0,1
523,95.68,-0.911603326,13,0,1
524,95.68,-0.914095487,13,0,0
525,95.68,-0.914095487,13,0,0
527,95.68,-0.930614745,20,0,1
528,95.68,-0.930614745,20,0,1
529,95.68,-0.930614745,20,0,1
530,95.68,-0.930734848,12,0,1
532,95.68,-0.933907738,19,0,1
533,95.68,-0.940751712,12,0,0
536,95.68,-0.953788002,19,0,1
537,95.68,-0.996275111,11,0,1
538,95.68,-1.001101426,15,0,1
542,95.68,-1.135282685,19,0,1
545,95.68,-1.242965521,9,0,1
548,95.68,-1.25735183,10,0,1
550,95.68,-1.275841655,10,0,0
551,95.68,-1.365554686,16,0,1
554,95.68,-1.3964047569999998,13,0,1
556,95.68,-1.412912727,11,0,1
558,95.68,-1.437816247,16,0,1
560,95.68,-1.491235516,9,0,1
562,95.68,-1.52949393,9,0,0
563,95.68,-1.52949393,9,0,0
564,95.68,-1.540420946,9,0,1
568,95.68,-1.652247989,15,0,0
570,95.68,-1.662283641,11,0,1
575,95.68,-1.869969249,11,0,1
581,95.68,-2.005776041,8,0,1
582,95.68,-2.0327942340000003,14,0,1
583,95.68,-2.050352016,13,0,1
587,95.68,-2.185151692,11,0,1
589,95.68,-2.195705764,16,0,0
590,95.68,-2.195705764,16,0,0
591,95.68,-2.342749724,14,0,1
594,95.68,-2.3567753,11,0,0
595,95.68,-2.3567753,11,0,0
596,95.68,-2.3567753,11,0,0
598,95.68,-2.398103609,14,0,0
600,95.68,-2.408745379,19,0,1
601,95.68,-2.468074709,11,0,1
602,95.68,-2.468074709,11,0,1
605,95.68,-2.604997247,9,0,1
606,95.68,-2.604997247,9,0,1
609,95.68,-2.942161054,17,0,1
610,95.68,-2.952593373,16,0,1
611,95.68,-2.952593373,16,0,1
612,95.68,-3.14836346,8,0,0
613,95.68,-3.14836346,8,0,0
614,95.68,-3.299687013,13,0,1
617,95.68,-3.422346783,13,0,1
618,95.68,-3.422346783,13,0,1
619,95.68,-3.4955038710000004,17,0,1
620,95.68,-3.582849169,9,0,1
621,95.68,-3.587512429,11,0,1
622,95.68,-3.728799583,12,0,1
623,95.68,-3.728799583,12,0,1
624,95.68,-3.728799583,12,0,1
625,95.68,-3.728799583,12,0,1
626,95.68,-3.938282251,16,0,1
629,95.68,-4.170759404,19,0,1
630,95.68,-4.450326575,11,0,1
632,6.87,0.796648914,19,1,0
633,6.87,0.796648914,19,1,0
634,6.87,0.796648914,19,1,1
635,6.87,0.634710319,20,1,1
636,6.87,0.634710319,20,1,1
637,6.87,0.634710319,20,1,1
638,6.87,0.611808375,15,1,1
641,6.87,0.32168826,16,1,0
642,6.87,0.2772505,13,1,1
643,6.87,0.2772505,13,1,1
644,6.87,0.221468583,15,1,0
645,6.87,0.221468583,15,1,0
646,6.87,0.183052928,7,1,1
647,6.87,0.007470699,8,1,1
649,6.87,0.004956009,19,1,1
652,6.87,-0.130828251,11,1,0
653,6.87,-0.142654367,10,1,1
654,6.87,-0.156545886,18,1,1
658,6.87,-0.241441537,10,1,1
660,6.87,-0.282835821,19,1,1
664,6.87,-0.408354331,10,1,1
666,6.87,-0.546222124,15,1,1
668,6.87,-0.627382357,12,1,1
669,6.87,-0.627382357,12,1,1
671,6.87,-0.652963296,8,1,0
672,6.87,-0.659063424,14,1,1
673,6.87,-0.664611191,13,1,1
674,6.87,-0.66579724,11,1,1
677,6.87,-0.7692028890000001,14,1,1
678,6.87,-0.7692028890000001,14,1,1
680,6.87,-0.7784083559999999,19,1,1
683,6.87,-0.834201786,19,1,1
684,6.87,-0.852713688,18,1,1
685,6.87,-0.862303183,12,1,1
686,6.87,-0.8882885620000001,14,1,1
689,6.87,-0.909581745,19,1,1
691,6.87,-0.945014618,16,1,1
692,6.87,-0.945014618,16,1,1
693,6.87,-0.945014618,16,1,1
695,6.87,-0.966751988,10,1,0
696,6.87,-0.966751988,10,1,0
698,6.87,-0.979396792,8,1,1
700,6.87,-1.028556145,18,1,1
701,6.87,-1.028556145,18,1,1
702,6.87,-1.042306708,10,1,1
703,6.87,-1.042306708,10,1,1
704,6.87,-1.090445047,14,1,0
706,6.87,-1.097788427,12,1,1
707,6.87,-1.126854896,13,1,0
708,6.87,-1.129421829,18,1,1
709,6.87,-1.147002697,12,1,0
711,6.87,-1.184145614,18,1,1
714,6.87,-1.203909039,8,1,1
715,6.87,-1.203909039,8,1,1
718,6.87,-1.232723395,13,1,1
721,6.87,-1.393646972,10,1,1
723,6.87,-1.4512465019999998,16,1,1
725,6.87,-1.463371594,19,1,1
727,6.87,-1.475335742,17,1,1
728,6.87,-1.475335742,17,1,1
731,6.87,-1.5025976580000002,15,1,1
732,6.87,-1.602329636,9,1,1
734,6.87,-1.720620296,15,1,1
737,6.87,-1.7475261830000002,17,1,0
739,6.87,-1.750078087,19,1,1
740,6.87,-1.799877936,11,1,1
741,6.87,-1.848322654,15,1,1
742,6.87,-1.848322654,15,1,1
745,6.87,-1.938180603,9,1,1
746,6.87,-1.939381627,18,1,1
748,6.87,-2.062127527,6,1,0
754,6.87,-2.228359628,16,1,1
755,6.87,-2.331045435,18,1,1
757,6.87,-2.452410164,7,1,1
759,6.87,-2.464662616,19,1,1
760,6.87,-2.464662616,19,1,1
761,6.87,-2.464662616,19,1,1
762,6.87,-2.464662616,19,1,1
763,6.87,-2.54098353,7,1,0
764,6.87,-2.628919264,9,1,0
765,6.87,-2.811713014,7,1,1
768,6.87,-3.1125422510000003,17,1,1
771,6.87,-3.478643549,18,1,0
772,6.87,-3.478643549,18,1,0
773,6.87,-3.478643549,18,1,0
776,6.87,-3.918109594,18,1,1
777,6.87,-3.931125563,11,1,1
778,6.87,-3.931125563,11,1,1
779,6.87,-3.931125563,11,1,1
780,6.87,-4.022631831,17,1,1
782,6.87,-4.030287101,9,1,1
783,6.87,-4.030287101,9,1,1
785,6.87,-4.432993225,10,1,1
786,6.87,-4.677292927,15,1,1
787,6.87,-4.994649921000001,18,1,1
791,87.91,0.648483366,13,1,1
792,87.91,0.647255714,13,1,1
794,87.91,0.561317692,19,1,1
798,87.91,0.219811008,16,1,1
799,87.91,0.219811008,16,1,1
801,87.91,0.17854706399999998,7,1,1
802,87.91,0.17854706399999998,7,1,1
803,87.91,0.175844689,5,1,0
807,87.91,0.011874769,6,1,1
808,87.91,0.011360153,14,1,1
809,87.91,0.011360153,14,1,1
811,87.91,-0.106885811,19,1,1
812,87.91,-0.106885811,19,1,1
815,87.91,-0.149968883,19,1,0
816,87.91,-0.149968883,19,1,1
818,87.91,-0.196695398,10,1,1
826,87.91,-0.309350929,13,1,0
828,87.91,-0.3855265470000001,11,1,1
829,87.91,-0.398269111,10,1,1
831,87.91,-0.427804713,19,1,1
832,87.91,-0.462423021,15,1,1
833,87.91,-0.462423021,15,1,1
834,87.91,-0.462423021,15,1,1
835,87.91,-0.463060753,13,1,1
836,87.91,-0.463060753,13,1,1
839,87.91,-0.475417986,19,1,1
840,87.91,-0.497416245,12,1,1
841,87.91,-0.525998864,17,1,1
846,87.91,-0.682489705,15,1,1
848,87.91,-0.691083185,10,1,1
849,87.91,-0.697165867,18,1,1
850,87.91,-0.697165867,18,1,1
851,87.91,-0.7389794279999999,15,1,0
852,87.91,-0.7415130990000001,17,1,1
853,87.91,-0.745503032,6,1,1
854,87.91,-0.8381990290000001,9,1,1
855,87.91,-0.873438213,11,1,1
860,87.91,-0.990417105,16,1,1
862,87.91,-0.99059891,19,1,1
863,87.91,-1.006465263,9,1,1
864,87.91,-1.01276743,10,1,1
865,87.91,-1.013907268,10,1,1
868,87.91,-1.092789213,12,1,1
869,87.91,-1.092789213,12,1,1
870,87.91,-1.092789213,12,1,1
874,87.91,-1.15166354,6,1,0
876,87.91,-1.188829271,9,1,1
877,87.91,-1.188829271,9,1,1
880,87.91,-1.252152734,10,1,1
881,87.91,-1.291109523,18,1,0
882,87.91,-1.354339572,20,1,1
883,87.91,-1.354339572,20,1,1
885,87.91,-1.4462162669999998,16,1,1
887,87.91,-1.530280902,14,1,1
889,87.91,-1.538999533,14,1,1
890,87.91,-1.593702624,10,1,0
891,87.91,-1.593702624,10,1,0
892,87.91,-1.593702624,10,1,0
893,87.91,-1.6209733869999998,11,1,0
894,87.91,-1.6209733869999998,11,1,0
895,87.91,-1.676129905,10,1,1
897,87.91,-1.722246965,16,1,0
898,87.91,-1.724915934,14,1,1
899,87.91,-1.731258929,11,1,1
901,87.91,-1.79156447,7,1,1
904,87.91,-1.936164724,10,1,1
905,87.91,-1.936164724,10,1,1
906,87.91,-1.97563036,17,1,0
908,87.91,-2.003996818,7,1,1
909,87.91,-2.012527837,11,1,1
910,87.91,-2.013676562,8,1,1
912,87.91,-2.108884767,7,1,0
914,87.91,-2.247193686,6,1,1
915,87.91,-2.262738726,11,1,1
916,87.91,-2.266081136,8,1,1
917,87.91,-2.29816133,14,1,0
918,87.91,-2.29816133,14,1,0
920,87.91,-2.368194396,10,1,1
921,87.91,-2.37976106,12,1,0
922,87.91,-2.388835682,9,1,0
923,87.91,-2.416224248,8,1,0
926,87.91,-2.982160415,12,1,1
927,87.91,-3.077653212,18,1,1
928,87.91,-3.13140937,8,1,1
929,87.91,-3.13140937,8,1,1
930,87.91,-3.18470845,17,1,1
931,87.91,-3.18470845,17,1,1
933,87.91,-3.502517459,11,1,1
934,87.91,-3.502517459,11,1,1
935,87.91,-3.502517459,11,1,1
936,87.91,-3.502517459,11,1,1
938,87.91,-3.793523781,14,1,1
940,87.91,-3.835484756,18,1,1
941,87.91,-4.315142466,14,1,1
943,87.91,-4.917624822,15,1,1
945,61.11,0.120711299,11,0,1
947,61.11,-0.033384102,13,0,1
949,61.11,-0.117961407,17,0,1
950,61.11,-0.13449982300000002,7,0,1
951,61.11,-0.168270614,14,0,1
953,61.11,-0.228090247,10,0,1
958,61.11,-0.248940054,11,0,1
959,61.11,-0.248940054,11,0,1
960,61.11,-0.248940054,11,0,1
961,61.11,-0.290538232,10,0,1
963,61.11,-0.30225418800000003,19,0,1
965,61.11,-0.381599189,13,0,1
966,61.11,-0.381599189,13,0,1
967,61.11,-0.381599189,13,0,1
968,61.11,-0.406905978,18,0,1
969,61.11,-0.439960505,9,0,1
970,61.11,-0.478493842,17,0,1
971,61.11,-0.485395084,17,0,1
973,61.11,-0.547479666,10,0,1
977,61.11,-0.5902017620000001,19,0,1
978,61.11,-0.752335889,12,0,1
981,61.11,-0.793123905,19,0,1
982,61.11,-0.793123905,19,0,1
983,61.11,-0.795426717,10,0,1
987,61.11,-0.8471987590000001,9,0,1
988,61.11,-0.8471987590000001,9,0,1
991,61.11,-0.938420585,9,0,1
993,61.11,-0.95374896,14,0,1
994,61.11,-0.966033808,8,0,1
997,61.11,-0.988856982,19,0,1
999,61.11,-1.002035554,12,0,1
1007,61.11,-1.120411166,15,0,1
1008,61.11,-1.120411166,15,0,1
1009,61.11,-1.120411166,15,0,1
1011,61.11,-1.1363771740000002,11,0,0
1012,61.11,-1.1363771740000002,11,0,0
1015,61.11,-1.172808309,7,0,1
1016,61.11,-1.193952356,16,0,0
1017,61.11,-1.20142915,13,0,1
1018,61.11,-1.243735353,20,0,1
1019,61.11,-1.243735353,20,0,1
1020,61.11,-1.2530327490000002,15,0,1
1023,61.11,-1.353106792,19,0,1
1025,61.11,-1.384543949,10,0,0
1026,61.11,-1.384543949,10,0,0
1027,61.11,-1.417322599,16,0,1
1029,61.11,-1.442203146,19,0,0
1030,61.11,-1.442203146,19,0,1
1032,61.11,-1.4947634280000002,7,0,1
1034,61.11,-1.5285135909999998,10,0,1
1035,61.11,-1.543486365,17,0,1
1036,61.11,-1.558049098,7,0,0
1037,61.11,-1.56981983,18,0,1
1038,61.11,-1.56981983,18,0,1
1039,61.11,-1.56981983,18,0,1
1040,61.11,-1.587789287,13,0,0
1041,61.11,-1.622982635,14,0,1
1043,61.11,-1.667084906,17,0,1
1044,61.11,-1.673314364,12,0,1
1048,61.11,-1.703950773,12,0,0
1049,61.11,-1.703950773,12,0,0
1052,61.11,-1.7498618680000002,8,0,1
1054,61.11,-1.763163658,17,0,0
1055,61.11,-1.763163658,17,0,0
1057,61.11,-1.838153971,11,0,1
1058,61.11,-1.870042417,11,0,1
1061,61.11,-1.8810085,17,0,1
1062,61.11,-1.8810085,17,0,1
1064,61.11,-1.977090523,12,0,1
1065,61.11,-1.979795076,10,0,1
1066,61.11,-1.979795076,10,0,1
1067,61.11,-2.006943082,16,0,1
1068,61.11,-2.006943082,16,0,1
1071,61.11,-2.083562291,14,0,1
1072,61.11,-2.084552905,9,0,0
1076,61.11,-2.238519557,15,0,1
1079,61.11,-2.259788034,16,0,1
1081,61.11,-2.328638083,14,0,1
1084,61.11,-2.49271128,15,0,0
1086,61.11,-2.728065972,6,0,0
1087,61.11,-2.7328256210000004,14,0,1
1088,61.11,-2.7328256210000004,14,0,1
1089,61.11,-2.818284405,18,0,1
1091,61.11,-3.277438457,18,0,0
1093,61.11,-3.4876607460000004,11,0,1
1094,61.11,-3.644234518,12,0,1
1095,61.11,-3.871940642,11,0,1
1096,61.11,-3.985550609,14,0,0
1097,61.11,-3.985550609,14,0,0
1098,61.11,-4.012467207,12,0,1
1099,61.11,-4.012467207,12,0,1
1101,61.11,-4.012467207,12,0,1
1102,61.11,-4.216097409,8,0,0
1104,61.11,-4.821757727,8,0,1
1105,61.11,-4.821757727,8,0,1
1108,39.51,0.28545475600000003,9,0,1
1109,39.51,0.28545475600000003,9,0,1
1110,39.51,0.234624747,13,0,1
1111,39.51,0.234624747,13,0,1
1112,39.51,-0.006206877,18,0,1
1113,39.51,-0.006206877,18,0,1
1115,39.51,-0.009948351,19,0,1
1116,39.51,-0.014518668,8,0,1
1117,39.51,-0.046912477,4,0,1
1118,39.51,-0.090650542,15,0,1
1119,39.51,-0.113328099,9,0,1
1121,39.51,-0.219963011,4,0,1
1122,39.51,-0.220640914,10,0,1
1123,39.51,-0.248373918,8,0,1
1124,39.51,-0.248373918,8,0,1
1125,39.51,-0.271421754,10,0,1
1127,39.51,-0.296216028,19,0,1
1128,39.51,-0.296216028,19,0,1
1129,39.51,-0.331072279,14,0,1
1132,39.51,-0.379826605,18,0,0
1133,39.51,-0.384064975,12,0,1
1134,39.51,-0.419617972,18,0,1
1137,39.51,-0.460518046,5,0,0
1138,39.51,-0.472262324,15,0,1
1139,39.51,-0.472262324,15,0,1
1141,39.51,-0.483393781,16,0,1
1142,39.51,-0.485190663,6,0,1
1143,39.51,-0.488533465,12,0,1
1144,39.51,-0.488533465,12,0,1
1146,39.51,-0.522626274,10,0,1
1147,39.51,-0.522626274,10,0,1
1148,39.51,-0.55821408,16,0,1
1149,39.51,-0.55821408,16,0,1
1150,39.51,-0.55821408,16,0,1
1151,39.51,-0.59156262,8,0,1
1152,39.51,-0.635071956,16,0,1
1160,39.51,-0.8430589479999999,11,0,1
1161,39.51,-0.8430589479999999,11,0,1
1164,39.51,-0.98201204,5,0,1
1166,39.51,-1.028282285,9,0,1
1168,39.51,-1.079397707,17,0,1
1169,39.51,-1.0955338959999998,7,0,1
1170,39.51,-1.140771684,4,0,0
1174,39.51,-1.2425363459999998,15,0,1
1177,39.51,-1.256565512,19,0,1
1181,39.51,-1.315098318,15,0,1
1183,39.51,-1.323291742,13,0,0
1187,39.51,-1.359808064,19,0,1
1188,39.51,-1.3765749109999998,9,0,0
1190,39.51,-1.423807078,6,0,1
1192,39.51,-1.455924824,17,0,1
1193,39.51,-1.455924824,17,0,1
