,Protein Annotation,Day21-ETP,sgRNA_vs_Target,sgRNA_vs_Mutated,Mutated_vs_Target,TID,MatchResult
54,76.54,-0.918147374,5,4,17,0,1
55,76.54,-0.967391672,18,3,5,0,1
56,76.54,-0.969542858,19,20,19,0,0
57,76.54,-0.969542858,19,4,5,0,1
58,76.54,-0.969542858,19,4,5,0,1
59,76.54,-0.9994287,9,3,14,0,1
60,12.64,3.57572381,20,20,20,1,1
61,76.54,-1.004847996,10,3,13,0,1
62,76.54,-1.005500054,19,20,19,0,0
63,76.54,-1.013792005,19,20,19,0,0
64,76.54,-1.013792005,19,2,3,0,1
65,76.54,-1.025483753,19,20,19,0,0
66,76.54,-1.033509303,7,3,15,0,1
67,76.54,-1.079098587,19,20,19,0,0
68,76.54,-1.083941208,19,20,19,0,0
69,76.54,-1.085355183,19,20,19,0,0
70,76.54,-1.106404944,18,4,6,0,1
71,76.54,-1.106404944,18,4,6,0,1
72,76.54,-1.117578889,7,3,16,0,1
73,76.54,-1.134541136,9,4,15,0,1
74,76.54,-1.134541136,9,4,15,0,1
75,76.54,-1.170019638,19,20,19,0,0
76,76.54,-1.233761132,19,20,19,0,0
77,76.54,-1.2377786240000002,7,3,16,0,1
78,76.54,-1.250476437,6,3,17,0,1
79,76.54,-1.256559559,19,20,19,0,0
80,76.54,-1.286190181,12,4,12,0,1
81,76.54,-1.286190181,12,4,12,0,1
82,76.54,-1.289584372,6,4,16,0,1
83,76.54,-1.327035786,6,3,17,0,1
84,76.54,-1.3508620219999998,20,4,4,0,1
85,76.54,-1.3508620219999998,20,4,4,0,1
86,76.54,-1.3508620219999998,20,4,4,0,1
87,76.54,-1.3508620219999998,20,4,4,0,1
88,76.54,-1.364527723,19,20,19,0,0
89,76.54,-1.390896396,10,3,13,0,1
90,76.54,-1.407673605,17,3,6,0,1
91,76.54,-1.4498121000000002,19,20,19,0,0
92,76.54,-1.468264681,15,3,7,0,1
93,76.54,-1.485103821,5,3,18,0,1
94,76.54,-1.500998993,19,20,19,0,0
95,76.54,-1.500998993,19,2,3,0,1
96,76.54,-1.535193002,15,4,9,0,1
97,76.54,-1.535193002,15,4,9,0,1
98,76.54,-1.5455154569999998,19,20,19,0,0
99,76.54,-1.545844829,19,20,19,0,0
100,76.54,-1.545844829,19,2,3,0,1
101,76.54,-1.545844829,19,2,3,0,1
102,76.54,-1.545844829,19,2,3,0,1
103,76.54,-1.545844829,19,2,3,0,1
104,76.54,-1.570976645,4,3,19,0,1
105,76.54,-1.59133721,5,4,19,0,1
106,76.54,-1.59133721,5,4,19,0,1
107,76.54,-1.599649546,4,4,20,0,1
108,76.54,-1.654337614,8,4,16,0,1
109,76.54,-1.654337614,8,4,16,0,1
110,76.54,-1.671125777,15,3,8,0,1
111,76.54,-1.673697117,12,3,10,0,1
112,76.54,-1.680764037,19,20,19,0,0
113,76.54,-1.6974023740000002,19,20,19,0,0
114,76.54,-1.697802983,11,3,12,0,1
115,76.54,-1.698404897,15,3,8,0,1
116,76.54,-1.70735597,16,4,6,0,1
117,76.54,-1.714669574,19,20,19,0,0
118,76.54,-1.739289854,19,20,19,0,0
119,76.54,-1.7446749330000002,19,20,19,0,0
120,76.54,-1.747124626,19,20,19,0,0
121,76.54,-1.7579295819999998,9,3,14,0,1
122,76.54,-1.7633529730000002,6,4,18,0,1
123,76.54,-1.7633529730000002,6,4,18,0,1
124,76.54,-1.778580268,19,20,19,0,0
125,76.54,-1.902210696,19,20,19,0,0
126,76.54,-1.9143116,19,20,19,0,0
127,76.54,-1.92012741,19,20,19,0,0
128,76.54,-1.92012741,19,2,3,0,1
129,76.54,-1.924815684,19,20,19,0,0
130,76.54,-1.934502759,19,20,19,0,0
131,76.54,-1.953853107,19,20,19,0,0
132,76.54,-1.953853107,19,3,4,0,1
133,76.54,-1.965761316,19,20,19,0,0
134,76.54,-1.997664891,19,20,19,0,0
135,76.54,-2.035194262,19,20,19,0,0
136,76.54,-2.050592627,19,20,19,0,0
137,76.54,-2.050592627,19,2,3,0,1
138,13.74,3.477013012,20,20,20,1,1
139,76.54,-2.052457893,19,20,19,0,0
140,76.54,-2.158070803,19,20,19,0,0
141,76.54,-2.22201457,4,3,19,0,1
142,76.54,-2.293779665,19,20,19,0,0
143,76.54,-2.325401125,19,20,19,0,0
144,76.54,-2.325401125,19,2,3,0,1
145,76.54,-2.35806984,14,3,9,0,1
146,76.54,-2.386593527,19,20,19,0,0
147,76.54,-2.407634903,3,3,19,0,1
148,76.54,-2.588034803,12,3,11,0,1
149,76.54,-2.633332086,11,3,12,0,1
150,76.54,-2.789125351,16,3,7,0,1
151,76.54,-3.3178000880000003,19,20,19,0,0
152,76.54,-3.3862335060000004,5,3,18,0,1
153,76.54,-4.070239817,12,3,11,0,1
154,76.54,-4.478051394,16,4,8,0,1
155,76.54,-4.478051394,16,4,8,0,1
156,76.54,-4.803635961,19,20,19,0,0
157,80.49,1.995467238,19,20,19,1,0
158,80.49,1.788111765,14,4,10,1,1
159,80.49,1.688291678,19,20,19,1,0
160,80.49,1.688291678,19,3,4,1,1
161,80.49,1.6881118330000002,19,20,19,1,0
162,80.49,1.629049128,19,20,19,1,0
163,80.49,1.452758962,14,3,9,1,1
164,80.49,1.379917869,17,4,7,1,1
165,80.49,1.3797077619999998,19,20,19,1,0
166,22.8,3.445374108,20,20,20,1,1
167,80.49,1.3797077619999998,19,5,6,1,1
168,80.49,1.3797077619999998,19,5,6,1,1
169,80.49,1.3718039119999998,19,20,19,1,0
170,80.49,1.3707819369999998,16,5,9,1,1
171,80.49,1.3707819369999998,16,5,9,1,1
172,80.49,1.310797739,18,5,7,1,1
173,80.49,1.310797739,18,5,7,1,1
174,80.49,1.242844091,19,20,19,1,0
175,80.49,1.214837742,19,20,19,1,0
176,80.49,1.200150713,19,20,19,1,0
177,80.49,1.193219642,19,20,19,1,0
178,80.49,1.085750761,19,20,19,1,0
179,80.49,1.085750761,19,3,4,1,1
180,80.49,1.03342521,20,5,5,1,1
181,80.49,1.03342521,20,5,5,1,1
182,80.49,1.03342521,20,5,5,1,1
183,80.49,0.977691228,15,5,10,1,1
184,80.49,0.977691228,15,5,10,1,1
185,80.49,0.977691228,15,5,10,1,1
186,80.49,0.975353277,19,20,19,1,0
187,80.49,0.909858564,19,20,19,1,0
188,80.49,0.849287461,19,20,19,1,0
189,80.49,0.8334323029999999,19,20,19,1,0
190,80.49,0.8112170059999999,19,20,19,1,0
191,80.49,0.8112170059999999,19,3,4,1,1
192,80.49,0.8112170059999999,19,3,4,1,1
193,80.49,0.8112170059999999,19,3,4,1,1
194,80.49,0.803791962,19,20,19,1,0
195,80.49,0.803305009,19,20,19,1,0
196,80.49,0.7647171859999999,19,20,19,1,0
197,80.49,0.7635756020000001,14,3,9,1,1
198,80.49,0.747372087,19,20,19,1,0
199,80.49,0.7450530940000001,19,20,19,1,0
200,80.49,0.737996022,19,20,19,1,0
201,80.49,0.72026399,18,4,5,1,1
202,80.49,0.6603852720000001,16,4,8,1,1
203,80.49,0.647755702,4,4,19,1,1
204,80.49,0.62984517,19,20,19,1,0
205,80.49,0.590961179,19,20,19,1,0
206,80.49,0.533750056,17,4,7,1,1
207,80.49,0.491761051,19,20,19,1,0
208,80.49,0.461593837,19,20,19,1,0
209,80.49,0.461593837,19,4,5,1,1
210,80.49,0.456854465,19,20,19,1,0
211,80.49,0.45559745,19,20,19,1,0
212,80.49,0.402094969,19,20,19,1,0
213,80.49,0.401991497,15,4,8,1,1
214,80.49,0.396415221,19,20,19,1,0
215,80.49,0.35830707799999995,12,5,13,1,1
216,80.49,0.35830707799999995,12,5,13,1,1
217,80.49,0.35781259200000004,19,20,19,1,0
218,80.49,0.35781259200000004,19,4,5,1,1
219,80.49,0.30834706300000003,17,5,8,1,1
220,80.49,0.30834706300000003,17,5,8,1,1
221,80.49,0.241070706,19,20,19,1,0
222,80.49,0.232019768,19,20,19,1,0
223,80.49,0.232019768,19,3,4,1,1
224,80.49,0.183458597,14,3,9,1,1
225,80.49,0.150498874,14,5,11,1,1
226,80.49,0.150498874,14,5,11,1,1
227,80.49,0.107410605,15,4,9,1,1
228,80.49,0.072041463,19,20,19,1,0
229,80.49,0.06799167,19,20,19,1,0
230,58.52,3.3784085630000003,20,20,20,1,1
231,80.49,0.06799167,19,3,4,1,1
232,80.49,0.020831519,19,20,19,1,0
233,80.49,0.007321226,19,20,19,1,0
234,80.49,-0.054255447000000005,15,4,9,1,1
235,80.49,-0.063274568,13,4,11,1,1
236,80.49,-0.07540085,19,20,19,1,0
237,80.49,-0.094724973,19,20,19,1,0
238,80.49,-0.131942371,14,4,10,1,1
239,80.49,-0.15403399,19,20,19,1,0
240,80.49,-0.331929667,19,20,19,1,0
241,80.49,-0.344610828,19,20,19,1,0
242,80.49,-0.344610828,19,3,4,1,1
243,80.49,-0.371481381,12,3,11,1,1
244,80.49,-0.484932385,14,3,9,1,1
245,80.49,-0.484932385,14,3,9,1,1
246,80.49,-0.50601786,19,20,19,1,0
247,80.49,-0.557049425,8,4,15,1,1
248,80.49,-0.60610341,19,20,19,1,0
249,80.49,-0.64395875,19,20,19,1,0
250,80.49,-0.68655638,5,4,19,1,1
251,80.49,-0.7694665620000001,19,20,19,1,0
252,80.49,-0.784679795,19,20,19,1,0
253,80.49,-0.786141457,12,3,11,1,1
254,53.3,3.35330088,20,20,20,1,1
255,80.49,-0.786141457,12,3,11,1,1
256,15.38,3.350460824,20,20,20,1,1
257,80.49,-0.84168809,7,4,16,1,1
258,80.49,-0.8627650790000001,18,4,6,1,1
259,80.49,-0.901753015,9,4,15,1,1
260,80.49,-0.955037221,8,4,16,1,1
261,80.49,-0.975626846,13,4,10,1,1
262,80.49,-1.019655137,13,5,12,1,1
263,80.49,-1.019655137,13,5,12,1,1
264,80.49,-1.019655137,13,5,12,1,1
265,80.49,-1.03424779,5,4,18,1,1
266,80.49,-1.055380436,6,4,18,1,1
267,80.49,-1.055594297,6,4,18,1,1
268,80.49,-1.112745274,10,5,15,1,1
269,80.49,-1.112745274,10,5,15,1,1
270,80.49,-1.123067458,8,5,17,1,1
271,80.49,-1.123067458,8,5,17,1,1
272,80.49,-1.270682181,19,20,19,1,0
273,80.49,-1.276459745,19,20,19,1,0
274,80.49,-1.287520256,9,5,16,1,1
275,80.49,-1.287520256,9,5,16,1,1
276,80.49,-1.327090537,16,4,7,1,1
277,80.49,-1.336890462,19,20,19,1,0
278,80.49,-1.456333801,7,5,18,1,1
279,80.49,-1.456333801,7,5,18,1,1
280,80.49,-1.508775791,13,4,11,1,1
281,80.49,-1.52102422,9,4,15,1,1
282,80.49,-1.537780058,7,4,17,1,1
283,80.49,-1.551063386,19,20,19,1,0
284,80.49,-1.648912181,12,3,11,1,1
285,80.49,-1.659183434,10,4,14,1,1
286,80.49,-1.678288253,19,20,19,1,0
287,80.49,-1.6822979180000002,19,20,19,1,0
288,80.49,-1.7460091130000002,19,20,19,1,0
289,80.49,-1.752158345,10,4,14,1,1
290,80.49,-1.806512299,5,4,19,1,1
291,80.49,-1.818312968,19,20,19,1,0
292,80.49,-1.941984919,5,5,20,1,1
293,80.49,-1.98218361,11,4,12,1,1
294,80.49,-1.982781107,8,4,16,1,1
295,80.49,-2.053487331,16,4,8,1,1
296,80.49,-2.190399504,12,4,12,1,1
297,80.49,-2.196693321,18,4,6,1,1
298,80.49,-2.203801681,19,20,19,1,0
299,80.49,-2.246933013,12,4,12,1,1
300,80.49,-2.437716556,19,20,19,1,0
301,80.49,-2.586370012,12,3,11,1,1
302,80.49,-2.693956039,19,20,19,1,0
303,80.49,-2.873336227,11,4,13,1,1
304,80.49,-2.883343673,11,4,13,1,1
305,80.49,-3.40232986,11,5,14,1,1
306,80.49,-3.40232986,11,5,14,1,1
307,80.49,-3.524897602,10,5,13,1,1
308,80.49,-3.666683757,6,5,19,1,1
309,80.49,-3.666683757,6,5,19,1,1
310,80.49,-3.780927173,19,20,19,1,0
311,80.49,-3.802874793,7,4,17,1,1
312,80.49,-3.938090499,17,4,6,1,1
313,80.49,-3.939386952,6,4,17,1,1
314,80.49,-4.073171507,19,20,19,1,0
315,80.49,-4.092304087,9,4,14,1,1
316,61.11,0.353928425,5,5,19,0,1
317,61.11,-0.116426322,10,5,15,0,1
318,61.11,-0.12817447099999998,6,5,19,0,1
319,61.11,-0.151997847,19,20,19,0,0
320,61.11,-0.190163855,11,4,13,0,1
321,61.11,-0.299474901,15,5,9,0,1
322,61.11,-0.395610889,19,20,19,0,0
323,61.11,-0.420908239,19,20,19,0,0
324,61.11,-0.44100162,6,4,18,0,1
325,61.11,-0.453643641,12,5,13,0,1
326,61.11,-0.495083408,19,20,19,0,0
327,61.11,-0.555834445,8,6,18,0,1
328,61.11,-0.555834445,8,6,18,0,1
329,61.11,-0.590081974,19,20,19,0,0
330,61.11,-0.602520209,19,20,19,0,0
331,61.11,-0.641108162,19,20,19,0,0
332,61.11,-0.690208685,19,20,19,0,0
333,61.11,-0.690208685,19,5,6,0,1
334,61.11,-0.702855515,16,5,9,0,1
335,61.11,-0.715465024,10,6,14,0,1
336,61.11,-0.7323862640000001,19,20,19,0,0
337,61.11,-0.735608192,19,20,19,0,0
338,61.11,-0.735608192,19,4,5,0,1
339,61.11,-0.735608192,19,4,5,0,1
340,61.11,-0.735608192,19,4,5,0,1
341,61.11,-0.7439984009999999,17,6,9,0,1
342,61.11,-0.7439984009999999,17,6,9,0,1
343,61.11,-0.757002277,19,20,19,0,0
344,61.11,-0.757421899,14,5,10,0,1
345,61.11,-0.764982655,6,4,18,0,1
346,61.11,-0.791143354,19,20,19,0,0
347,61.11,-0.8043882729999999,19,20,19,0,0
348,61.11,-0.8419329959999999,18,6,8,0,1
349,61.11,-0.8419329959999999,18,6,8,0,1
350,61.11,-0.871987435,19,20,19,0,0
351,61.11,-0.901883688,19,20,19,0,0
352,61.11,-0.917525613,19,20,19,0,0
353,61.11,-0.992670772,19,20,19,0,0
354,61.11,-1.024119337,8,5,17,0,1
355,61.11,-1.033307395,12,6,12,0,1
356,61.11,-1.082454345,13,5,11,0,1
357,61.11,-1.111975099,9,6,17,0,1
358,61.11,-1.111975099,9,6,17,0,1
359,61.11,-1.122002573,19,20,19,0,0
360,61.11,-1.133832084,8,5,17,0,1
361,61.11,-1.146407575,19,20,19,0,0
362,61.11,-1.19615812,13,5,12,0,1
363,61.11,-1.207437245,6,4,18,0,1
364,61.11,-1.207437245,6,4,18,0,1
365,61.11,-1.208628723,19,20,19,0,0
366,61.11,-1.208628723,19,4,5,0,1
367,61.11,-1.2474510090000002,8,5,16,0,1
368,61.11,-1.257036295,19,20,19,0,0
369,61.11,-1.257036295,19,4,5,0,1
370,61.11,-1.272227184,13,6,13,0,1
371,61.11,-1.272227184,13,6,13,0,1
372,61.11,-1.294439626,11,5,14,0,1
373,61.11,-1.30353026,19,20,19,0,0
374,61.11,-1.332789842,13,5,12,0,1
375,61.11,-1.341638683,18,5,7,0,1
376,61.11,-1.3503713240000002,19,20,19,0,0
377,53.85,3.2798288660000003,20,20,20,1,1
378,61.11,-1.357278819,17,5,8,0,1
379,61.11,-1.385069595,19,20,19,0,0
380,61.11,-1.390915422,19,20,19,0,0
381,61.11,-1.394337344,19,20,19,0,0
382,61.11,-1.394337344,19,6,7,0,1
383,61.11,-1.394337344,19,6,7,0,1
384,61.11,-1.394407854,11,4,13,0,1
385,61.11,-1.446452939,19,20,19,0,0
386,61.11,-1.4700161930000002,19,20,19,0,0
387,61.11,-1.4700161930000002,19,4,5,0,1
388,61.11,-1.474116105,19,20,19,0,0
389,61.11,-1.479870279,19,20,19,0,0
390,61.11,-1.479870279,19,4,5,0,1
391,61.11,-1.500063985,11,4,13,0,1
392,61.11,-1.511895363,16,5,9,0,1
393,61.11,-1.522412811,11,4,13,0,1
394,61.11,-1.525974908,16,6,10,0,1
395,61.11,-1.525974908,16,6,10,0,1
396,61.11,-1.538473226,12,6,14,0,1
397,61.11,-1.538473226,12,6,14,0,1
398,61.11,-1.538473226,12,6,14,0,1
399,61.11,-1.538473226,12,6,14,0,1
400,61.11,-1.559985635,19,20,19,0,0
401,61.11,-1.580266164,15,6,11,0,1
402,61.11,-1.580266164,15,6,11,0,1
403,61.11,-1.584322275,17,5,8,0,1
404,61.11,-1.612427979,7,5,17,0,1
405,61.11,-1.617906476,19,20,19,0,0
406,61.11,-1.617906476,19,4,5,0,1
407,61.11,-1.620803957,19,20,19,0,0
408,61.11,-1.651038795,15,5,10,0,1
409,61.11,-1.664665073,19,20,19,0,0
410,61.11,-1.698186287,20,6,6,0,1
411,61.11,-1.698186287,20,6,6,0,1
412,61.11,-1.698186287,20,6,6,0,1
413,61.11,-1.706501975,19,20,19,0,0
414,61.11,-1.741875953,15,5,10,0,1
415,61.11,-1.774530115,19,20,19,0,0
416,61.11,-1.7892395680000002,19,20,19,0,0
417,61.11,-1.802859661,10,5,15,0,1
418,61.11,-1.857793924,19,20,19,0,0
419,61.11,-1.862816728,19,20,19,0,0
420,61.11,-1.866880868,7,5,18,0,1
421,61.11,-1.881044327,12,5,13,0,1
422,61.11,-1.882323003,19,20,19,0,0
423,61.11,-1.911132982,17,5,7,0,1
424,61.11,-1.940709046,19,20,19,0,0
425,61.11,-1.941234849,18,5,6,0,1
426,61.11,-1.962941648,19,20,19,0,0
427,61.11,-1.968708518,19,20,19,0,0
428,61.11,-2.018691431,11,4,13,0,1
429,61.11,-2.022380758,19,20,19,0,0
430,61.11,-2.0334985480000003,19,20,19,0,0
431,61.11,-2.036264467,19,20,19,0,0
432,61.11,-2.058049526,7,6,19,0,1
433,61.11,-2.058049526,7,6,19,0,1
434,61.11,-2.058049526,7,6,19,0,1
435,61.11,-2.080334714,9,5,15,0,1
436,61.11,-2.103944399,6,4,18,0,1
437,61.11,-2.147915181,9,5,16,0,1
438,61.11,-2.149328967,14,6,12,0,1
439,61.11,-2.149328967,14,6,12,0,1
440,61.11,-2.153003488,19,20,19,0,0
441,61.11,-2.170623001,10,6,16,0,1
442,61.11,-2.170623001,10,6,16,0,1
443,61.11,-2.2067947130000003,19,20,19,0,0
444,61.11,-2.210105789,19,20,19,0,0
445,61.11,-2.220036737,11,5,14,0,1
446,61.11,-2.223884076,19,20,19,0,0
447,61.11,-2.244874071,18,5,7,0,1
448,61.11,-2.305847214,19,20,19,0,0
449,61.11,-2.335249492,6,5,19,0,1
450,61.11,-2.336527056,19,20,19,0,0
451,61.11,-2.407427691,19,20,19,0,0
452,61.11,-2.413535373,19,20,19,0,0
453,61.11,-2.480095694,7,5,18,0,1
454,61.11,-2.57783574,11,4,13,0,1
455,61.11,-2.57783574,11,4,13,0,1
456,61.11,-2.57783574,11,4,13,0,1
457,61.11,-2.792946482,6,6,20,0,1
458,61.11,-2.8886072310000004,19,20,19,0,0
459,61.11,-2.8886072310000004,19,5,6,0,1
460,61.11,-2.973421634,11,4,13,0,1
461,61.11,-3.016805049,19,20,19,0,0
462,61.11,-3.3824647660000005,11,6,15,0,1
463,61.11,-3.3824647660000005,11,6,15,0,1
464,61.11,-3.411737936,19,20,19,0,0
465,61.11,-3.91233926,19,20,19,0,0
466,61.11,-4.005215637,19,20,19,0,0
467,61.11,-4.26700435,19,20,19,0,0
468,61.11,-4.304119493,14,5,11,0,1
469,61.11,-4.321124703,9,5,16,0,1
470,61.11,-4.757501392,16,5,8,0,1
471,61.11,-5.220404682,14,5,11,0,1
472,95.68,0.58477804,19,20,19,0,0
473,95.68,0.58477804,19,7,8,0,1
474,95.68,0.576625731,19,20,19,0,0
475,95.68,0.35364168100000004,15,8,13,0,1
476,95.68,0.086978048,15,9,14,0,1
477,95.68,0.086978048,15,9,14,0,1
478,95.68,0.018773854,19,20,19,0,0
479,95.68,-0.017416004,19,20,19,0,0
480,95.68,-0.06763588799999999,17,8,10,0,1
481,95.68,-0.07561127200000001,19,20,19,0,0
482,95.68,-0.171023795,16,7,11,0,1
483,95.68,-0.216794687,19,20,19,0,0
484,95.68,-0.244062445,14,9,15,0,1
485,95.68,-0.244062445,14,9,15,0,1
486,95.68,-0.244062445,14,9,15,0,1
487,95.68,-0.310592756,11,7,16,0,1
488,95.68,-0.335161999,18,8,9,0,1
489,95.68,-0.368587434,19,20,19,0,0
490,10.71,3.218938774,20,20,20,1,1
491,95.68,-0.404695643,18,9,11,0,1
492,95.68,-0.404695643,18,9,11,0,1
493,95.68,-0.405823382,13,7,14,0,1
494,95.68,-0.430749167,10,9,19,0,1
495,95.68,-0.430749167,10,9,19,0,1
496,95.68,-0.430749167,10,9,19,0,1
497,95.68,-0.526527128,19,20,19,0,0
498,95.68,-0.526527128,19,7,8,0,1
499,95.68,-0.5357161189999999,12,8,16,0,1
500,95.68,-0.549052686,19,20,19,0,0
501,95.68,-0.549052686,19,9,10,0,1
502,95.68,-0.549052686,19,9,10,0,1
503,95.68,-0.644207839,18,8,10,0,1
504,95.68,-0.661388988,19,20,19,0,0
505,95.68,-0.6616448620000001,16,8,12,0,1
506,95.68,-0.683961594,19,20,19,0,0
507,95.68,-0.6935568329999999,10,8,18,0,1
508,95.68,-0.7128324859999999,19,20,19,0,0
509,95.68,-0.726714271,19,20,19,0,0
510,95.68,-0.726714271,19,7,8,0,1
511,95.68,-0.726714271,19,7,8,0,1
512,95.68,-0.726714271,19,7,8,0,1
513,95.68,-0.755247012,19,20,19,0,0
514,95.68,-0.7875218940000001,19,20,19,0,0
515,95.68,-0.807455805,8,7,19,0,1
516,95.68,-0.82794133,8,7,19,0,1
517,95.68,-0.8543615170000001,19,20,19,0,0
518,95.68,-0.88898678,18,8,10,0,1
519,95.68,-0.895518982,9,7,18,0,1
520,95.68,-0.902344213,17,9,12,0,1
521,95.68,-0.902344213,17,9,12,0,1
522,95.68,-0.902344213,17,9,12,0,1
523,95.68,-0.911603326,13,8,15,0,1
524,95.68,-0.914095487,13,7,14,0,1
525,95.68,-0.914095487,13,7,14,0,1
526,95.68,-0.92364914,19,20,19,0,0
527,95.68,-0.930614745,20,9,9,0,1
528,95.68,-0.930614745,20,9,9,0,1
529,95.68,-0.930614745,20,9,9,0,1
530,95.68,-0.930734848,12,8,16,0,1
531,95.68,-0.933907738,19,20,19,0,0
532,95.68,-0.933907738,19,8,9,0,1
533,95.68,-0.940751712,12,8,15,0,1
534,95.68,-0.94466799,19,20,19,0,0
535,95.68,-0.953788002,19,20,19,0,0
536,95.68,-0.953788002,19,7,8,0,1
537,95.68,-0.996275111,11,7,16,0,1
538,95.68,-1.001101426,15,8,13,0,1
539,48.35,3.200802587,20,20,20,1,1
540,95.68,-1.124396233,19,20,19,0,0
541,95.68,-1.135282685,19,20,19,0,0
542,95.68,-1.135282685,19,8,9,0,1
543,95.68,-1.159693123,19,20,19,0,0
544,95.68,-1.2151938290000002,19,20,19,0,0
545,95.68,-1.242965521,9,7,18,0,1
546,95.68,-1.243598891,19,20,19,0,0
547,48.35,3.197064462,20,20,20,1,1
548,95.68,-1.25735183,10,8,18,0,1
549,95.68,-1.269755056,19,20,19,0,0
550,95.68,-1.275841655,10,8,17,0,1
551,95.68,-1.365554686,16,7,11,0,1
552,95.68,-1.386192501,19,20,19,0,0
553,95.68,-1.388585252,19,20,19,0,0
554,95.68,-1.3964047569999998,13,8,15,0,1
555,95.68,-1.400714869,19,20,19,0,0
556,95.68,-1.412912727,11,7,16,0,1
557,95.68,-1.436962835,19,20,19,0,0
558,95.68,-1.437816247,16,7,11,0,1
559,95.68,-1.481848091,19,20,19,0,0
560,95.68,-1.491235516,9,8,19,0,1
561,95.68,-1.523684654,19,20,19,0,0
562,95.68,-1.52949393,9,7,18,0,1
563,95.68,-1.52949393,9,7,18,0,1
564,95.68,-1.540420946,9,7,18,0,1
565,95.68,-1.556971089,19,20,19,0,0
566,95.68,-1.60792135,19,20,19,0,0
567,95.68,-1.614806711,19,20,19,0,0
568,95.68,-1.652247989,15,8,12,0,1
569,95.68,-1.660726336,19,20,19,0,0
570,95.68,-1.662283641,11,7,16,0,1
571,95.68,-1.6635802919999998,19,20,19,0,0
572,95.68,-1.755017978,19,20,19,0,0
573,95.68,-1.761939161,19,20,19,0,0
574,95.68,-1.846440283,19,20,19,0,0
575,95.68,-1.869969249,11,7,16,0,1
576,95.68,-1.89069929,19,20,19,0,0
577,95.68,-1.931664347,19,20,19,0,0
578,95.68,-1.940190618,19,20,19,0,0
579,95.68,-1.954719253,19,20,19,0,0
580,95.68,-1.961367631,19,20,19,0,0
581,95.68,-2.005776041,8,7,19,0,1
582,95.68,-2.0327942340000003,14,8,14,0,1
583,95.68,-2.050352016,13,7,14,0,1
584,95.68,-2.072937034,19,20,19,0,0
585,95.68,-2.099906066,19,20,19,0,0
586,95.68,-2.122711625,19,20,19,0,0
587,95.68,-2.185151692,11,7,16,0,1
588,95.68,-2.185341141,19,20,19,0,0
589,95.68,-2.195705764,16,7,11,0,1
590,95.68,-2.195705764,16,7,11,0,1
591,95.68,-2.342749724,14,8,14,0,1
592,11.54,3.179709177,20,20,20,1,1
593,95.68,-2.356018356,19,20,19,0,0
594,95.68,-2.3567753,11,7,16,0,1
595,95.68,-2.3567753,11,7,16,0,1
